City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,aripuana,-9.1667,-60.6333,22.49,94,19,0.65,BR,1705904241
154,koryazhma,61.3143,47.1691,-16.72,92,84,3.37,RU,1705904241
155,kodinsk,58.6881,99.1844,-15.31,87,93,1.76,RU,1705904242
156,jeddah,21.5169,39.2192,26.92,50,0,1.54,SA,1705904242
157,alaverdi,41.0977,44.6732,3.5,98,100,1.21,AM,1705904243
158,ilulissat,69.2167,-51.1,-11.99,67,20,11.32,GL,1705904244
159,muroto-misakicho,33.2833,134.15,12.55,69,77,3.32,JP,1705904244
160,san carlos,9.6612,-68.5827,22.86,76,2,1.65,VE,1705904245
161,kapuskasing,49.4169,-82.4331,-5.0,86,100,6.69,CA,1705904246
162,minas de marcona,-15.2119,-75.1103,18.89,88,98,1.53,PE,1705904246
163,prabuty,53.755,19.2055,1.07,78,100,8.91,PL,1705904247
164,ulanhot,46.0833,122.0833,-16.06,58,44,4.53,CN,1705904247
165,gadzhiyevo,69.2551,33.3362,-9.31,95,100,5.19,RU,1705904248
166,myitkyina,25.3833,97.4,25.47,32,1,0.64,MM,1705904249
167,susuman,62.7833,148.1667,-44.67,100,97,0.4,RU,1705904249
168,zeya,53.75,127.2667,-25.84,86,81,1.18,RU,1705904250
169,bredasdorp,-34.5322,20.0403,19.04,80,100,7.13,ZA,1705904250
170,vama,47.5667,25.6833,-10.06,88,51,2.68,RO,1705904251
171,nemuro,43.3236,145.575,-1.44,66,94,5.95,JP,1705904252
172,punta arenas,-53.15,-70.9167,15.06,72,40,9.26,CL,1705904013
173,banga,6.4239,124.7783,30.6,62,99,1.41,PH,1705904253
174,mosonmagyarovar,47.8679,17.2699,-3.97,67,35,5.47,HU,1705904254
175,sandnessjoen,66.0217,12.6316,3.06,60,75,6.69,NO,1705904254
176,badiyah,22.45,58.8,22.95,50,91,0.9,OM,1705904255
177,arteche,12.2645,125.4048,26.62,88,99,4.95,PH,1705904255
178,byron bay,-28.65,153.6167,25.95,80,44,6.81,AU,1705904256
179,falakata,26.5208,89.2055,22.3,41,3,1.08,IN,1705904257
180,happy valley-goose bay,53.3168,-60.3315,-21.83,64,40,3.6,CA,1705904050
181,fonte boa,-2.4959,-66.2662,23.39,99,99,0.56,BR,1705904258
182,dunda,-8.1167,34.25,18.43,95,100,1.09,TZ,1705904258
183,babruysk,53.15,29.2333,-7.5,90,98,6.15,BY,1705904259
184,grand falls-windsor,48.9332,-55.6649,-4.72,90,94,2.63,CA,1705904259
185,puerto baquerizo moreno,-0.9,-89.6,25.08,91,38,4.46,EC,1705904260
186,eyl,7.9803,49.8164,26.54,59,72,10.49,SO,1705904261
187,bathsheba,13.2167,-59.5167,26.0,79,16,8.19,BB,1705904261
188,iskateley,67.6803,53.1512,-24.43,98,93,2.68,RU,1705904262
189,zajecar,43.9036,22.2641,-4.69,87,8,1.02,RS,1705904262
190,san patricio,28.017,-97.5169,13.16,99,100,1.61,US,1705904263
191,toliara,-23.35,43.6667,30.08,65,43,2.45,MG,1705904264
192,lacombe,52.4668,-113.7353,-13.09,97,100,2.03,CA,1705904264
193,carletonville,-26.3609,27.3977,23.08,36,5,0.99,ZA,1705904265
194,kristiansund,63.1115,7.732,7.36,49,0,6.69,NO,1705904266
195,west island,-12.1568,96.8225,28.99,79,75,2.57,CC,1705904266
196,lazaro cardenas,17.9583,-102.2,23.53,86,19,1.87,MX,1705904267
197,bam,29.106,58.357,15.91,21,0,0.93,IR,1705904267
198,tinajo,29.0788,-13.7081,16.49,72,40,5.14,ES,1705904268
